text,category,cleaned_text
The staff at the front desk were careless.,Services,staff front desk careless
My kids loved the club.,Recreation,kid loved club
The beverage selection presentation was tasteless.,Food,beverage selection presentation tasteless
We ate at the restaurant and had buffet.,Food,ate restaurant buffet
Our room was very trapping and had a great view.,Rooms,room trapping great view
The window in my room was dated.,Rooms,window room dated
We spent all day at the gym.,Recreation,spent day gym
We spent all day at the entertainment.,Recreation,spent day entertainment
We were greeted by a unhelpful concierge.,Services,greeted unhelpful concierge
The view made the stay questionable.,Rooms,view made stay questionable
My kids loved the beach.,Recreation,kid loved beach
We waited too long for the concierge.,Services,waited long concierge
Great salad but the pizza was overcooked.,Food,great salad pizza overcooked
The hotel has a great club.,Recreation,hotel great club
The spa equipment was dirty.,Recreation,spa equipment dirty
Check-in was unhelpful thanks to the driver.,Services,checkin unhelpful thanks driver
Great protein but the salad was mediocre.,Food,great protein salad mediocre
I ordered fish and it tasted spicy.,Food,ordered fish tasted spicy
"Don't miss the music, it is dirty.",Recreation,dont miss music dirty
Sleeping was hard because of the bed.,Rooms,sleeping hard bed
We were greeted by a welcoming cleaning staff.,Services,greeted welcoming cleaning staff
"The suite needs renovation, especially the pillow.",Rooms,suite need renovation especially pillow
Room service brought us cold pizza.,Food,roomservice brought u cold pizza
Breakfast buffet had amazing dessert.,Food,breakfast buffet amazing dessert
We waited too long for the hospitality team.,Services,waited long hospitality team
We waited too long for the waiter.,Services,waited long waiter
Evening club was clean.,Recreation,evening club clean
Breakfast buffet had amazing steak.,Food,breakfast buffet amazing steak
My kids loved the music.,Recreation,kid loved music
The hotel has a great bar.,Recreation,hotel great bar
Breakfast buffet had amazing pasta.,Food,breakfast buffet amazing pasta
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
My kids loved the pool.,Recreation,kid loved pool
Room service brought us cold fish.,Food,roomservice brought u cold fish
The hotel has a great aquatic facility.,Recreation,hotel great aquatic facility
Great fish but the rice was exquisite.,Food,great fish rice exquisite
I complained to the driver.,Services,complained driver
Breakfast buffet had amazing dining.,Food,breakfast buffet amazing dining
I ordered burger and it tasted raw.,Food,ordered burger tasted raw
"Service was warm, especially the manager.",Services,service warm especially manager
The staff at the front desk were friendly.,Services,staff front desk friendly
The beverage selection was overcooked.,Food,beverage selection overcooked
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
Check-in was attentive thanks to the bellboy.,Services,checkin attentive thanks bellboy
Sleeping was hard because of the lights.,Rooms,sleeping hard light
"We loved the furniture, it was so trapping.",Rooms,loved furniture trapping
Evening kids club was clean.,Recreation,evening kid club clean
The wifi made the stay broken.,Rooms,wifi made stay broken
"We loved the fridge, it was so questionable.",Rooms,loved fridge questionable
The tennis court area was boring.,Recreation,tennis court area boring
We spent all day at the tennis court.,Recreation,spent day tennis court
Dining experience was bad because of the stale buffet.,Food,dining experience bad stale buffet
Great steak but the burger was stale.,Food,great steak burger stale
The massage equipment was amazing.,Recreation,massage equipment amazing
We waited too long for the hospitality team.,Services,waited long hospitality team
"Don't miss the excursion, it is dirty.",Recreation,dont miss excursion dirty
Our room was very noisy and had a great sheets.,Rooms,room noisy great sheet
My kids loved the pool.,Recreation,kid loved pool
Great bread but the dining was dry.,Food,great bread dining dry
The coffee was greasy.,Food,coffee greasy
We were greeted by a polite manager.,Services,greeted polite manager
The kids club area was dangerous.,Recreation,kid club area dangerous
"The suite needs renovation, especially the fridge.",Rooms,suite need renovation especially fridge
The furniture in my room was quiet.,Rooms,furniture room quiet
Our room was very smelly and had a great furniture.,Rooms,room smelly great furniture
Sleeping was hard because of the TV.,Rooms,sleeping hard tv
The balcony in my room was dusty.,Rooms,balcony room dusty
I ordered fish and it tasted tasty.,Food,ordered fish tasted tasty
Sleeping was hard because of the TV.,Rooms,sleeping hard tv
Dining experience was bad because of the exquisite bread.,Food,dining experience bad exquisite bread
My kids loved the kids club.,Recreation,kid loved kid club
The staff at the front desk were ignored.,Services,staff front desk ignored
We ate at the restaurant and had menu options.,Food,ate restaurant menu option
Check-in was attentive thanks to the hospitality team.,Services,checkin attentive thanks hospitality team
The pool area was dirty.,Recreation,pool area dirty
Sleeping was hard because of the lights.,Rooms,sleeping hard light
The tea was disappointing.,Food,tea disappointing
Breakfast buffet had amazing buffet.,Food,breakfast buffet amazing buffet
Housekeeping did not clean the sheets.,Rooms,housekeeping not clean sheet
We ate at the restaurant and had soup.,Food,ate restaurant soup
The carpet in my room was worn out.,Rooms,carpet room worn
"We loved the carpet, it was so clean.",Rooms,loved carpet clean
Housekeeping did not clean the acoustics.,Rooms,housekeeping not clean acoustic
Check-in was unhelpful thanks to the staff.,Services,checkin unhelpful thanks staff
The hotel has a great club.,Recreation,hotel great club
The curry presentation was bland.,Food,curry presentation bland
"The suite needs renovation, especially the shower.",Rooms,suite need renovation especially shower
Bathroom balcony was noisy.,Rooms,bathroom balcony noisy
We spent all day at the spa.,Recreation,spent day spa
"The suite needs renovation, especially the suite aesthetic.",Rooms,suite need renovation especially suite aesthetic
Sleeping was hard because of the acoustics.,Rooms,sleeping hard acoustic
Bathroom door was clean.,Rooms,bathroom door clean
The shower in my room was smelly.,Rooms,shower room smelly
"Don't miss the fitness area, it is fun.",Recreation,dont miss fitness area fun
The pillow in my room was worn out.,Rooms,pillow room worn
The massage equipment was dirty.,Recreation,massage equipment dirty
"Don't miss the kids club, it is dangerous.",Recreation,dont miss kid club dangerous
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
We were greeted by a friendly service personnel.,Services,greeted friendly service personnel
"Don't miss the fitness area, it is crowded.",Recreation,dont miss fitness area crowded
"Service was professional, especially the bartender.",Services,service professional especially bartender
I complained to the porter.,Services,complained porter
The burger was non-existent.,Food,burger nonexistent
The cake was exquisite.,Food,cake exquisite
We were greeted by a careless concierge.,Services,greeted careless concierge
Amazing hospitality from the hospitality team.,Services,amazing hospitality hospitality team
We spent all day at the beach.,Recreation,spent day beach
Dining experience was bad because of the hot gastronomy.,Food,dining experience bad hot gastronomy
The music equipment was cheap.,Recreation,music equipment cheap
We were greeted by a careless staff.,Services,greeted careless staff
The staff at the front desk were friendly.,Services,staff front desk friendly
The decor in my room was questionable.,Rooms,decor room questionable
"Don't miss the club, it is lacking.",Recreation,dont miss club lacking
Breakfast buffet had amazing rice.,Food,breakfast buffet amazing rice
"We loved the sheets, it was so dated.",Rooms,loved sheet dated
Check-in was unhelpful thanks to the porter.,Services,checkin unhelpful thanks porter
Swimming in the pool was the highlight.,Recreation,swimming pool highlight
The bar area was overcrowded.,Recreation,bar area overcrowded
My kids loved the aquatic facility.,Recreation,kid loved aquatic facility
Dining experience was bad because of the delicious menu options.,Food,dining experience bad delicious menu option
The aquatic facility area was relaxing.,Recreation,aquatic facility area relaxing
We waited too long for the receptionist.,Services,waited long receptionist
I ordered buffet and it tasted greasy.,Food,ordered buffet tasted greasy
Evening tour was unsafe.,Recreation,evening tour unsafe
The excursion equipment was lacking.,Recreation,excursion equipment lacking
The buffet was exquisite.,Food,buffet exquisite
I complained to the bartender.,Services,complained bartender
The hotel has a great entertainment.,Recreation,hotel great entertainment
The door made the stay worn out.,Rooms,door made stay worn
Sleeping was hard because of the acoustics.,Rooms,sleeping hard acoustic
I complained to the waiter.,Services,complained waiter
The curry was delicious.,Food,curry delicious
Bathroom AC was questionable.,Rooms,bathroom ac questionable
Bathroom TV was cozy.,Rooms,bathroom tv cozy
Breakfast buffet had amazing menu options.,Food,breakfast buffet amazing menu option
Dining experience was bad because of the disappointing dining.,Food,dining experience bad disappointing dining
The sink made the stay broken.,Rooms,sink made stay broken
The hotel has a great spa.,Recreation,hotel great spa
Housekeeping did not clean the lights.,Rooms,housekeeping not clean light
Bathroom AC was modern.,Rooms,bathroom ac modern
Housekeeping did not clean the shower.,Rooms,housekeeping not clean shower
Check-in was welcoming thanks to the concierge.,Services,checkin welcoming thanks concierge
We ate at the restaurant and had buffet.,Food,ate restaurant buffet
"The suite needs renovation, especially the acoustics.",Rooms,suite need renovation especially acoustic
Housekeeping did not clean the sheets.,Rooms,housekeeping not clean sheet
Great protein but the burger was disappointing.,Food,great protein burger disappointing
The steak presentation was dry.,Food,steak presentation dry
Breakfast buffet had amazing tea.,Food,breakfast buffet amazing tea
Amazing hospitality from the receptionist.,Services,amazing hospitality receptionist
Swimming in the aquatic facility was the highlight.,Recreation,swimming aquatic facility highlight
Dining experience was bad because of the oily beer.,Food,dining experience bad oily beer
The hotel has a great tour.,Recreation,hotel great tour
Breakfast buffet had amazing burger.,Food,breakfast buffet amazing burger
The tea presentation was exquisite.,Food,tea presentation exquisite
Sleeping was hard because of the view.,Rooms,sleeping hard view
Great bread but the rice was hot.,Food,great bread rice hot
The wellness center area was fun.,Recreation,wellness center area fun
Sleeping was hard because of the shower.,Rooms,sleeping hard shower
"We loved the sheets, it was so tiny.",Rooms,loved sheet tiny
We ate at the restaurant and had tea.,Food,ate restaurant tea
We spent all day at the tennis court.,Recreation,spent day tennis court
The waiter was very arrogant.,Services,waiter arrogant
Bathroom suite aesthetic was dated.,Rooms,bathroom suite aesthetic dated
We waited too long for the service personnel.,Services,waited long service personnel
"The suite needs renovation, especially the TV.",Rooms,suite need renovation especially tv
The culinary experience presentation was stale.,Food,culinary experience presentation stale
Dining experience was bad because of the raw sauce.,Food,dining experience bad raw sauce
"Don't miss the pool, it is fun.",Recreation,dont miss pool fun
Evening gym was cheap.,Recreation,evening gym cheap
Great dessert but the steak was spicy.,Food,great dessert steak spicy
Dining experience was bad because of the raw sauce.,Food,dining experience bad raw sauce
The fitness area area was closed.,Recreation,fitness area area closed
Breakfast buffet had amazing salad.,Food,breakfast buffet amazing salad
"Service was fast, especially the bartender.",Services,service fast especially bartender
Housekeeping did not clean the door.,Rooms,housekeeping not clean door
My kids loved the kids club.,Recreation,kid loved kid club
Room service brought us cold menu options.,Food,roomservice brought u cold menu option
Amazing hospitality from the concierge.,Services,amazing hospitality concierge
Amazing hospitality from the bartender.,Services,amazing hospitality bartender
The staff at the front desk were welcoming.,Services,staff front desk welcoming
We were greeted by a arrogant manager.,Services,greeted arrogant manager
Room service brought us cold menu options.,Food,roomservice brought u cold menu option
Dining experience was bad because of the delicious beverage selection.,Food,dining experience bad delicious beverage selection
The sound insulation made the stay spacious.,Rooms,sound insulation made stay spacious
The staff was very fast.,Services,staff fast
Our room was very worn out and had a great sheets.,Rooms,room worn great sheet
Room service brought us cold chicken.,Food,roomservice brought u cold chicken
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
Evening entertainment was lacking.,Recreation,evening entertainment lacking
Great chicken but the gastronomy was greasy.,Food,great chicken gastronomy greasy
Breakfast buffet had amazing steak.,Food,breakfast buffet amazing steak
The hotel has a great club.,Recreation,hotel great club
"Don't miss the kids club, it is closed.",Recreation,dont miss kid club closed
The AC made the stay comfortable.,Rooms,ac made stay comfortable
Breakfast buffet had amazing steak.,Food,breakfast buffet amazing steak
We were greeted by a rude front desk agent.,Services,greeted rude front desk agent
The hotel has a great spa.,Recreation,hotel great spa
I complained to the driver.,Services,complained driver
We waited too long for the porter.,Services,waited long porter
I ordered culinary experience and it tasted delicious.,Food,ordered culinary experience tasted delicious
"Service was arrogant, especially the hospitality team.",Services,service arrogant especially hospitality team
The tea presentation was overcooked.,Food,tea presentation overcooked
I complained to the bellboy.,Services,complained bellboy
We were greeted by a professional receptionist.,Services,greeted professional receptionist
Breakfast buffet had amazing burger.,Food,breakfast buffet amazing burger
Room service brought us cold menu options.,Food,roomservice brought u cold menu option
The sound insulation in my room was old.,Rooms,sound insulation room old
Bathroom fridge was terrible.,Rooms,bathroom fridge terrible
We waited too long for the service personnel.,Services,waited long service personnel
Room service brought us cold sauce.,Food,roomservice brought u cold sauce
We were greeted by a ignored bellboy.,Services,greeted ignored bellboy
The curry was exquisite.,Food,curry exquisite
Great pizza but the steak was salty.,Food,great pizza steak salty
Room service brought us cold beer.,Food,roomservice brought u cold beer
My kids loved the beach.,Recreation,kid loved beach
I complained to the driver.,Services,complained driver
Swimming in the kids club was the highlight.,Recreation,swimming kid club highlight
"The suite needs renovation, especially the window.",Rooms,suite need renovation especially window
"The suite needs renovation, especially the toilet.",Rooms,suite need renovation especially toilet
The buffet was salty.,Food,buffet salty
The music equipment was clean.,Recreation,music equipment clean
The pizza presentation was non-existent.,Food,pizza presentation nonexistent
Bathroom lights was noisy.,Rooms,bathroom light noisy
We waited too long for the concierge.,Services,waited long concierge
The staff at the front desk were ignored.,Services,staff front desk ignored
The hotel has a great spa.,Recreation,hotel great spa
Amazing hospitality from the concierge.,Services,amazing hospitality concierge
Great cake but the breakfast was delicious.,Food,great cake breakfast delicious
We waited too long for the bellboy.,Services,waited long bellboy
The menu options was oily.,Food,menu option oily
The view made the stay trapping.,Rooms,view made stay trapping
The hotel has a great music.,Recreation,hotel great music
Great dessert but the beverage selection was fresh.,Food,great dessert beverage selection fresh
I ordered tea and it tasted tasteless.,Food,ordered tea tasted tasteless
Breakfast buffet had amazing curry.,Food,breakfast buffet amazing curry
Breakfast buffet had amazing curry.,Food,breakfast buffet amazing curry
"Service was helpful, especially the hospitality team.",Services,service helpful especially hospitality team
Sleeping was hard because of the sound insulation.,Rooms,sleeping hard sound insulation
Our room was very spacious and had a great bed.,Rooms,room spacious great bed
The acoustics made the stay trapping.,Rooms,acoustic made stay trapping
I ordered chicken and it tasted exquisite.,Food,ordered chicken tasted exquisite
The pizza was delicious.,Food,pizza delicious
We waited too long for the cleaning staff.,Services,waited long cleaning staff
"The suite needs renovation, especially the sink.",Rooms,suite need renovation especially sink
Check-in was slow thanks to the hospitality team.,Services,checkin slow thanks hospitality team
The buffet presentation was non-existent.,Food,buffet presentation nonexistent
"We loved the balcony, it was so broken.",Rooms,loved balcony broken
The shower in my room was worn out.,Rooms,shower room worn
Amazing hospitality from the porter.,Services,amazing hospitality porter
"We loved the toilet, it was so dated.",Rooms,loved toilet dated
Our room was very questionable and had a great wifi.,Rooms,room questionable great wifi
"The suite needs renovation, especially the toilet.",Rooms,suite need renovation especially toilet
Great chicken but the pasta was exquisite.,Food,great chicken pasta exquisite
Our room was very noisy and had a great fridge.,Rooms,room noisy great fridge
The bar equipment was amazing.,Recreation,bar equipment amazing
We spent all day at the tennis court.,Recreation,spent day tennis court
Breakfast buffet had amazing salad.,Food,breakfast buffet amazing salad
I ordered menu options and it tasted dry.,Food,ordered menu option tasted dry
The TV made the stay dusty.,Rooms,tv made stay dusty
"Don't miss the spa, it is cheap.",Recreation,dont miss spa cheap
The acoustics in my room was cozy.,Rooms,acoustic room cozy
The lights in my room was dirty.,Rooms,light room dirty
We ate at the restaurant and had menu options.,Food,ate restaurant menu option
We were greeted by a friendly bartender.,Services,greeted friendly bartender
We waited too long for the staff.,Services,waited long staff
The spa equipment was fun.,Recreation,spa equipment fun
"The suite needs renovation, especially the decor.",Rooms,suite need renovation especially decor
My kids loved the club.,Recreation,kid loved club
We spent all day at the wellness center.,Recreation,spent day wellness center
The club equipment was dirty.,Recreation,club equipment dirty
The aquatic facility area was amazing.,Recreation,aquatic facility area amazing
Dining experience was bad because of the yummy chicken.,Food,dining experience bad yummy chicken
The bar area was amazing.,Recreation,bar area amazing
Breakfast buffet had amazing fish.,Food,breakfast buffet amazing fish
The excursion equipment was lacking.,Recreation,excursion equipment lacking
"We loved the lavatory, it was so clean.",Rooms,loved lavatory clean
Check-in was careless thanks to the service personnel.,Services,checkin careless thanks service personnel
Our room was very spacious and had a great sink.,Rooms,room spacious great sink
I ordered buffet and it tasted hot.,Food,ordered buffet tasted hot
Amazing hospitality from the bartender.,Services,amazing hospitality bartender
I complained to the front desk agent.,Services,complained front desk agent
The sheets made the stay spacious.,Rooms,sheet made stay spacious
The cleaning staff was very helpful.,Services,cleaning staff helpful
"The suite needs renovation, especially the fridge.",Rooms,suite need renovation especially fridge
Sleeping was hard because of the sink.,Rooms,sleeping hard sink
"We loved the fridge, it was so modern.",Rooms,loved fridge modern
Breakfast buffet had amazing pizza.,Food,breakfast buffet amazing pizza
Dining experience was bad because of the bland breakfast.,Food,dining experience bad bland breakfast
"Service was disinterested, especially the concierge.",Services,service disinterested especially concierge
We were greeted by a fast cleaning staff.,Services,greeted fast cleaning staff
We ate at the restaurant and had protein.,Food,ate restaurant protein
Housekeeping did not clean the decor.,Rooms,housekeeping not clean decor
Bathroom sink was noisy.,Rooms,bathroom sink noisy
Sleeping was hard because of the TV.,Rooms,sleeping hard tv
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
Evening excursion was unsafe.,Recreation,evening excursion unsafe
The lights in my room was tiny.,Rooms,light room tiny
My kids loved the massage.,Recreation,kid loved massage
Sleeping was hard because of the view.,Rooms,sleeping hard view
Breakfast buffet had amazing breakfast.,Food,breakfast buffet amazing breakfast
Our room was very old and had a great pillow.,Rooms,room old great pillow
"Service was polite, especially the porter.",Services,service polite especially porter
Housekeeping did not clean the lights.,Rooms,housekeeping not clean light
The music equipment was dangerous.,Recreation,music equipment dangerous
Great breakfast but the beverage selection was yummy.,Food,great breakfast beverage selection yummy
Our room was very dusty and had a great view.,Rooms,room dusty great view
Bathroom decor was spacious.,Rooms,bathroom decor spacious
We ate at the restaurant and had sauce.,Food,ate restaurant sauce
The spa area was expensive.,Recreation,spa area expensive
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
Sleeping was hard because of the AC.,Rooms,sleeping hard ac
The hotel has a great excursion.,Recreation,hotel great excursion
We ate at the restaurant and had soup.,Food,ate restaurant soup
Great dessert but the pizza was raw.,Food,great dessert pizza raw
My kids loved the music.,Recreation,kid loved music
I ordered sauce and it tasted yummy.,Food,ordered sauce tasted yummy
Swimming in the tennis court was the highlight.,Recreation,swimming tennis court highlight
We spent all day at the kids club.,Recreation,spent day kid club
"We loved the view, it was so clean.",Rooms,loved view clean
Swimming in the pool was the highlight.,Recreation,swimming pool highlight
Room service brought us cold breakfast.,Food,roomservice brought u cold breakfast
Housekeeping did not clean the furniture.,Rooms,housekeeping not clean furniture
"Don't miss the club, it is lacking.",Recreation,dont miss club lacking
We waited too long for the bellboy.,Services,waited long bellboy
The beach equipment was lacking.,Recreation,beach equipment lacking
Bathroom shower was dirty.,Rooms,bathroom shower dirty
The aquatic facility equipment was unsafe.,Recreation,aquatic facility equipment unsafe
Evening entertainment was amazing.,Recreation,evening entertainment amazing
Evening beach was lacking.,Recreation,evening beach lacking
The acoustics made the stay smelly.,Rooms,acoustic made stay smelly
"Service was unhelpful, especially the service personnel.",Services,service unhelpful especially service personnel
The beverage selection presentation was yummy.,Food,beverage selection presentation yummy
The cake was salty.,Food,cake salty
Great dining but the coffee was undercooked.,Food,great dining coffee undercooked
The staff at the front desk were careless.,Services,staff front desk careless
"Don't miss the music, it is dangerous.",Recreation,dont miss music dangerous
I complained to the receptionist.,Services,complained receptionist
The soup was mediocre.,Food,soup mediocre
The excursion equipment was amazing.,Recreation,excursion equipment amazing
We waited too long for the cleaning staff.,Services,waited long cleaning staff
Swimming in the tour was the highlight.,Recreation,swimming tour highlight
Room service brought us cold coffee.,Food,roomservice brought u cold coffee
Our room was very questionable and had a great TV.,Rooms,room questionable great tv
We ate at the restaurant and had gastronomy.,Food,ate restaurant gastronomy
My kids loved the gym.,Recreation,kid loved gym
The club area was amazing.,Recreation,club area amazing
The staff at the front desk were welcoming.,Services,staff front desk welcoming
We spent all day at the aquatic facility.,Recreation,spent day aquatic facility
Our room was very terrible and had a great sheets.,Rooms,room terrible great sheet
The hotel has a great kids club.,Recreation,hotel great kid club
Housekeeping did not clean the wifi.,Rooms,housekeeping not clean wifi
My kids loved the fitness area.,Recreation,kid loved fitness area
Great salad but the burger was fresh.,Food,great salad burger fresh
"We loved the AC, it was so terrible.",Rooms,loved ac terrible
The waiter was very polite.,Services,waiter polite
Sleeping was hard because of the sound insulation.,Rooms,sleeping hard sound insulation
We were greeted by a helpful manager.,Services,greeted helpful manager
Amazing hospitality from the receptionist.,Services,amazing hospitality receptionist
The salad presentation was fresh.,Food,salad presentation fresh
The fitness area equipment was amazing.,Recreation,fitness area equipment amazing
"The suite needs renovation, especially the lavatory.",Rooms,suite need renovation especially lavatory
We ate at the restaurant and had salad.,Food,ate restaurant salad
Bathroom toilet was trapping.,Rooms,bathroom toilet trapping
The bed in my room was smelly.,Rooms,bed room smelly
The tour equipment was cheap.,Recreation,tour equipment cheap
The view in my room was tiny.,Rooms,view room tiny
I ordered pizza and it tasted delicious.,Food,ordered pizza tasted delicious
The tea was non-existent.,Food,tea nonexistent
"Service was disinterested, especially the receptionist.",Services,service disinterested especially receptionist
Swimming in the tour was the highlight.,Recreation,swimming tour highlight
"We loved the door, it was so broken.",Rooms,loved door broken
We were greeted by a careless waiter.,Services,greeted careless waiter
The burger was overcooked.,Food,burger overcooked
My kids loved the beach.,Recreation,kid loved beach
The club area was dangerous.,Recreation,club area dangerous
Dining experience was bad because of the yummy rice.,Food,dining experience bad yummy rice
We spent all day at the entertainment.,Recreation,spent day entertainment
The bar equipment was unsafe.,Recreation,bar equipment unsafe
The bartender was very arrogant.,Services,bartender arrogant
"Service was polite, especially the hospitality team.",Services,service polite especially hospitality team
"The suite needs renovation, especially the AC.",Rooms,suite need renovation especially ac
Breakfast buffet had amazing pizza.,Food,breakfast buffet amazing pizza
Amazing hospitality from the hospitality team.,Services,amazing hospitality hospitality team
The lavatory in my room was worn out.,Rooms,lavatory room worn
"Don't miss the wellness center, it is unsafe.",Recreation,dont miss wellness center unsafe
"Service was helpful, especially the bartender.",Services,service helpful especially bartender
The excursion equipment was overcrowded.,Recreation,excursion equipment overcrowded
Great sauce but the bread was fresh.,Food,great sauce bread fresh
"Service was arrogant, especially the bellboy.",Services,service arrogant especially bellboy
The fitness area equipment was dirty.,Recreation,fitness area equipment dirty
We ate at the restaurant and had steak.,Food,ate restaurant steak
The menu options was undercooked.,Food,menu option undercooked
Room service brought us cold wine.,Food,roomservice brought u cold wine
We were greeted by a helpful waiter.,Services,greeted helpful waiter
The view in my room was questionable.,Rooms,view room questionable
The excursion area was clean.,Recreation,excursion area clean
Room service brought us cold pizza.,Food,roomservice brought u cold pizza
Dining experience was bad because of the mediocre dining.,Food,dining experience bad mediocre dining
We were greeted by a disinterested staff.,Services,greeted disinterested staff
Swimming in the excursion was the highlight.,Recreation,swimming excursion highlight
We waited too long for the front desk agent.,Services,waited long front desk agent
Great chicken but the gastronomy was yummy.,Food,great chicken gastronomy yummy
"Don't miss the aquatic facility, it is cheap.",Recreation,dont miss aquatic facility cheap
The pasta was raw.,Food,pasta raw
Evening excursion was relaxing.,Recreation,evening excursion relaxing
The pillow made the stay tiny.,Rooms,pillow made stay tiny
Breakfast buffet had amazing beer.,Food,breakfast buffet amazing beer
We spent all day at the kids club.,Recreation,spent day kid club
Bathroom shower was modern.,Rooms,bathroom shower modern
Dining experience was bad because of the disappointing beer.,Food,dining experience bad disappointing beer
The staff was very warm.,Services,staff warm
Great dining but the bread was salty.,Food,great dining bread salty
I ordered dining and it tasted hot.,Food,ordered dining tasted hot
Dining experience was bad because of the tasteless pizza.,Food,dining experience bad tasteless pizza
"We loved the fridge, it was so trapping.",Rooms,loved fridge trapping
The shower made the stay trapping.,Rooms,shower made stay trapping
"Don't miss the kids club, it is closed.",Recreation,dont miss kid club closed
We were greeted by a arrogant staff.,Services,greeted arrogant staff
The sink in my room was cozy.,Rooms,sink room cozy
Amazing hospitality from the bellboy.,Services,amazing hospitality bellboy
We waited too long for the staff.,Services,waited long staff
Bathroom AC was dated.,Rooms,bathroom ac dated
Our room was very dated and had a great carpet.,Rooms,room dated great carpet
The hotel has a great kids club.,Recreation,hotel great kid club
We ate at the restaurant and had soup.,Food,ate restaurant soup
Evening fitness area was clean.,Recreation,evening fitness area clean
The hotel has a great beach.,Recreation,hotel great beach
The bellboy was very arrogant.,Services,bellboy arrogant
We spent all day at the excursion.,Recreation,spent day excursion
Swimming in the massage was the highlight.,Recreation,swimming massage highlight
"Service was professional, especially the bellboy.",Services,service professional especially bellboy
The spa area was lacking.,Recreation,spa area lacking
Room service brought us cold beer.,Food,roomservice brought u cold beer
Dining experience was bad because of the disappointing beer.,Food,dining experience bad disappointing beer
The hotel has a great tennis court.,Recreation,hotel great tennis court
The bar area was boring.,Recreation,bar area boring
Breakfast buffet had amazing soup.,Food,breakfast buffet amazing soup
Dining experience was bad because of the delicious wine.,Food,dining experience bad delicious wine
Bathroom acoustics was quiet.,Rooms,bathroom acoustic quiet
I complained to the bellboy.,Services,complained bellboy
The massage equipment was clean.,Recreation,massage equipment clean
Check-in was disinterested thanks to the bartender.,Services,checkin disinterested thanks bartender
I ordered culinary experience and it tasted overcooked.,Food,ordered culinary experience tasted overcooked
Dining experience was bad because of the meager beverage selection.,Food,dining experience bad meager beverage selection
"Service was disinterested, especially the cleaning staff.",Services,service disinterested especially cleaning staff
The excursion equipment was unsafe.,Recreation,excursion equipment unsafe
The door made the stay quiet.,Rooms,door made stay quiet
Check-in was disinterested thanks to the front desk agent.,Services,checkin disinterested thanks front desk agent
The kids club equipment was closed.,Recreation,kid club equipment closed
Swimming in the club was the highlight.,Recreation,swimming club highlight
The staff at the front desk were welcoming.,Services,staff front desk welcoming
"Don't miss the spa, it is dangerous.",Recreation,dont miss spa dangerous
We ate at the restaurant and had cake.,Food,ate restaurant cake
Breakfast buffet had amazing buffet.,Food,breakfast buffet amazing buffet
The fish was dry.,Food,fish dry
I complained to the front desk agent.,Services,complained front desk agent
Breakfast buffet had amazing dining.,Food,breakfast buffet amazing dining
The staff was very warm.,Services,staff warm
The hotel has a great aquatic facility.,Recreation,hotel great aquatic facility
Housekeeping did not clean the window.,Rooms,housekeeping not clean window
Evening gym was relaxing.,Recreation,evening gym relaxing
"The suite needs renovation, especially the window.",Rooms,suite need renovation especially window
The staff at the front desk were slow.,Services,staff front desk slow
I ordered chicken and it tasted tasty.,Food,ordered chicken tasted tasty
Check-in was disinterested thanks to the hospitality team.,Services,checkin disinterested thanks hospitality team
Check-in was rude thanks to the porter.,Services,checkin rude thanks porter
We were greeted by a fast staff.,Services,greeted fast staff
We waited too long for the bartender.,Services,waited long bartender
Our room was very trapping and had a great view.,Rooms,room trapping great view
Great coffee but the sauce was overcooked.,Food,great coffee sauce overcooked
We spent all day at the gym.,Recreation,spent day gym
Our room was very cozy and had a great sink.,Rooms,room cozy great sink
The waiter was very disinterested.,Services,waiter disinterested
The fridge in my room was clean.,Rooms,fridge room clean
The sound insulation in my room was comfortable.,Rooms,sound insulation room comfortable
The furniture made the stay quiet.,Rooms,furniture made stay quiet
The excursion area was relaxing.,Recreation,excursion area relaxing
The coffee was salty.,Food,coffee salty
The soup was oily.,Food,soup oily
Evening bar was lacking.,Recreation,evening bar lacking
Evening tennis court was expensive.,Recreation,evening tennis court expensive
"Service was unhelpful, especially the driver.",Services,service unhelpful especially driver
The hotel has a great tour.,Recreation,hotel great tour
"We loved the wifi, it was so broken.",Rooms,loved wifi broken
Housekeeping did not clean the suite aesthetic.,Rooms,housekeeping not clean suite aesthetic
Breakfast buffet had amazing menu options.,Food,breakfast buffet amazing menu option
Room service brought us cold bread.,Food,roomservice brought u cold bread
Amazing hospitality from the service personnel.,Services,amazing hospitality service personnel
Housekeeping did not clean the acoustics.,Rooms,housekeeping not clean acoustic
Dining experience was bad because of the greasy wine.,Food,dining experience bad greasy wine
Great beverage selection but the beer was oily.,Food,great beverage selection beer oily
Bathroom TV was trapping.,Rooms,bathroom tv trapping
Great dining but the soup was oily.,Food,great dining soup oily
Swimming in the beach was the highlight.,Recreation,swimming beach highlight
"The suite needs renovation, especially the shower.",Rooms,suite need renovation especially shower
The bar equipment was fun.,Recreation,bar equipment fun
The entertainment equipment was amazing.,Recreation,entertainment equipment amazing
