text,category,action
"Hotel needs more fun, bar was boring.",Recreation,Upgrade Pool & Activities
I ordered pasta but it was disappointing.,Food,Review Menu & Kitchen Quality
I complained to the bellboy but they was on their phone.,Services,Staff Training Required
"Staff training is needed, receptionist was rude.",Services,Staff Training Required
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
The bartender was extremely incompetent.,Services,Staff Training Required
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, pizza was waste of money.",Food,Review Menu & Kitchen Quality
"We were bored, the beach needs an upgrade.",Recreation,Upgrade Pool & Activities
"Hotel needs more fun, beach was outdated.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, buffet was bland.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, pizza smelled bad.",Food,Review Menu & Kitchen Quality
We found the buffet to be bland and dry.,Food,Review Menu & Kitchen Quality
I complained to the employee but they ignored us.,Services,Staff Training Required
The bartender was extremely rude.,Services,Staff Training Required
We found the pasta to be burned and dry.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, cake was waste of money.",Food,Review Menu & Kitchen Quality
We were treated poorly by a impolite staff.,Services,Staff Training Required
The fridge in my room was broken.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff kept us waiting.,Services,Staff Training Required
I cannot get the safe to lock.,Rooms,Inspect Room & Maintenance
I ordered steak but it smelled bad.,Food,Review Menu & Kitchen Quality
Room 201 has a stained fan.,Rooms,Inspect Room & Maintenance
I ordered chicken but it smelled bad.,Food,Review Menu & Kitchen Quality
"Nothing to do here, bar is closed.",Recreation,Upgrade Pool & Activities
Room 201 has a wet air conditioner.,Rooms,Inspect Room & Maintenance
"We had issues with the sheets, it was not working.",Rooms,Inspect Room & Maintenance
I cannot get the balcony door to lock.,Rooms,Inspect Room & Maintenance
The gym was very small.,Recreation,Upgrade Pool & Activities
The kids club was very outdated.,Recreation,Upgrade Pool & Activities
The games was very cold.,Recreation,Upgrade Pool & Activities
I complained to the server but they ignored us.,Services,Staff Training Required
"Disappointed with the games, it was empty.",Recreation,Upgrade Pool & Activities
"Room maintenance is poor, TV kept leaking.",Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The carpet smells like wet dog.,Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, lights was old.",Rooms,Inspect Room & Maintenance
The guy at the tennis court was very incompetent.,Services,Staff Training Required
The gym area is small and needs attention.,Recreation,Upgrade Pool & Activities
The lights in my room was not working.,Rooms,Inspect Room & Maintenance
I cannot get the balcony door to open.,Rooms,Inspect Room & Maintenance
"Staff training is needed, server was unprofessional.",Services,Staff Training Required
I complained to the manager but they did check on us.,Services,Staff Training Required
"Staff training is needed, employee was unprofessional.",Services,Staff Training Required
"Hotel needs more fun, spa was crowded.",Recreation,Upgrade Pool & Activities
Room 201 has a broken AC.,Rooms,Inspect Room & Maintenance
The TV in my room was moldy.,Rooms,Inspect Room & Maintenance
"Staff training is needed, server was lazy.",Services,Staff Training Required
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Disappointed with the spa, it was dirty.",Recreation,Upgrade Pool & Activities
The entertainment was very boring.,Recreation,Upgrade Pool & Activities
I cannot get the main door to open.,Rooms,Inspect Room & Maintenance
We found the chicken to be stale and greasy.,Food,Review Menu & Kitchen Quality
"Nothing to do here, pool is outdated.",Recreation,Upgrade Pool & Activities
Very rude behavior from the bartender.,Services,Staff Training Required
"Disappointed with the entertainment, it was useless.",Recreation,Upgrade Pool & Activities
The tennis court area is small and needs attention.,Recreation,Upgrade Pool & Activities
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
"Terrible dining experience, fish was disappointing.",Food,Review Menu & Kitchen Quality
The wifi makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, tea was tasteless.",Food,Review Menu & Kitchen Quality
The room smells like wet dog.,Rooms,Inspect Room & Maintenance
I complained to the manager but they kept us waiting.,Services,Staff Training Required
"Kitchen needs improvement, fish was dry.",Food,Review Menu & Kitchen Quality
The concierge was extremely unfriendly.,Services,Staff Training Required
"Nothing to do here, entertainment is expensive.",Recreation,Upgrade Pool & Activities
We found the rice to be raw and tasteless.,Food,Review Menu & Kitchen Quality
The air conditioner makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, door kept failing.",Rooms,Inspect Room & Maintenance
I cannot get the balcony door to lock.,Rooms,Inspect Room & Maintenance
"Please fix the toilet, it is wont lock.",Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff argued with us.,Services,Staff Training Required
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Hotel needs more fun, bar was closed.",Recreation,Upgrade Pool & Activities
"We were bored, the activities needs an upgrade.",Recreation,Upgrade Pool & Activities
"Please fix the sink, it is smelly.",Rooms,Inspect Room & Maintenance
"Room maintenance is poor, sheets kept making noise.",Rooms,Inspect Room & Maintenance
"Food quality is overcooked, especially the tea.",Food,Review Menu & Kitchen Quality
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
"Food quality is tasteless, especially the steak.",Food,Review Menu & Kitchen Quality
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, tennis court was empty.",Recreation,Upgrade Pool & Activities
"Please fix the sink, it is damp.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, lights kept failing.",Rooms,Inspect Room & Maintenance
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
"Hotel needs more fun, spa was outdated.",Recreation,Upgrade Pool & Activities
"We had issues with the fridge, it was dirty.",Rooms,Inspect Room & Maintenance
We found the rice to be awful and oily.,Food,Review Menu & Kitchen Quality
"Room maintenance is poor, balcony kept leaking.",Rooms,Inspect Room & Maintenance
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
"Please fix the sink, it is wont lock.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, curry smelled bad.",Food,Review Menu & Kitchen Quality
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
"Hotel needs more fun, games was dirty.",Recreation,Upgrade Pool & Activities
"Disappointed with the spa, it was closed.",Recreation,Upgrade Pool & Activities
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
"Terrible dining experience, dessert lacked flavor.",Food,Review Menu & Kitchen Quality
"Nothing to do here, tennis court is crowded.",Recreation,Upgrade Pool & Activities
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
Very aggressive behavior from the staff.,Services,Staff Training Required
Room 201 has a smells like dog shower.,Rooms,Inspect Room & Maintenance
The balcony makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Disappointed with the bar, it was expensive.",Recreation,Upgrade Pool & Activities
The guy at the tennis court was very arrogant.,Services,Staff Training Required
"Room maintenance is poor, lights kept making noise.",Rooms,Inspect Room & Maintenance
I ordered coffee but it was waste of money.,Food,Review Menu & Kitchen Quality
Room 201 has a damp air conditioner.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, buffet was cold.",Food,Review Menu & Kitchen Quality
"Please fix the shower, it is dusty.",Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, fridge kept failing.",Rooms,Inspect Room & Maintenance
The gym was very closed.,Recreation,Upgrade Pool & Activities
We were treated poorly by a unprofessional employee.,Services,Staff Training Required
"Food quality is bland, especially the pasta.",Food,Review Menu & Kitchen Quality
I ordered buffet but it smelled bad.,Food,Review Menu & Kitchen Quality
The carpet smells like sewage.,Rooms,Inspect Room & Maintenance
"Bathroom was disgusting, fan was dirty.",Rooms,Inspect Room & Maintenance
"Please fix the sink, it is damp.",Rooms,Inspect Room & Maintenance
"Nothing to do here, tennis court is cold.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, breakfast was raw.",Food,Review Menu & Kitchen Quality
The pool was very empty.,Recreation,Upgrade Pool & Activities
"Room maintenance is poor, toilet kept making noise.",Rooms,Inspect Room & Maintenance
"Food quality is burned, especially the rice.",Food,Review Menu & Kitchen Quality
We found the soup to be inadible and greasy.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, breakfast tasted terrible.",Food,Review Menu & Kitchen Quality
"Staff training is needed, cleaning staff was mean.",Services,Staff Training Required
The bed in my room was leaking.,Rooms,Inspect Room & Maintenance
The curtain smells like smoke.,Rooms,Inspect Room & Maintenance
We found the buffet to be oily and oily.,Food,Review Menu & Kitchen Quality
"We were bored, the spa needs an upgrade.",Recreation,Upgrade Pool & Activities
"Nothing to do here, activities is dirty.",Recreation,Upgrade Pool & Activities
I complained to the waiter but they scolded me.,Services,Staff Training Required
The concierge was extremely unprofessional.,Services,Staff Training Required
"Nothing to do here, kids club is cold.",Recreation,Upgrade Pool & Activities
I complained to the receptionist but they argued with us.,Services,Staff Training Required
"Please fix the sink, it is old.",Rooms,Inspect Room & Maintenance
The lights makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Disappointed with the kids club, it was empty.",Recreation,Upgrade Pool & Activities
"Disappointed with the gym, it was useless.",Recreation,Upgrade Pool & Activities
I ordered breakfast but it was disappointing.,Food,Review Menu & Kitchen Quality
"Service was terrible, the concierge rolled their eyes.",Services,Staff Training Required
"We had issues with the lights, it was stained.",Rooms,Inspect Room & Maintenance
The steak was undercooked.,Food,Review Menu & Kitchen Quality
"Service was terrible, the concierge did check on us.",Services,Staff Training Required
I cannot get the main door to close.,Rooms,Inspect Room & Maintenance
I ordered curry but it was not good.,Food,Review Menu & Kitchen Quality
"Food quality is cold, especially the rice.",Food,Review Menu & Kitchen Quality
Very angry behavior from the employee.,Services,Staff Training Required
Nobody at the pool bar seemed interested in serving us.,Services,Staff Training Required
I complained to the waiter but they scolded me.,Services,Staff Training Required
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
I complained to the staff but they ignored us.,Services,Staff Training Required
We found the chicken to be burned and stale.,Food,Review Menu & Kitchen Quality
We were treated poorly by a angry cleaning staff.,Services,Staff Training Required
The burger was awful.,Food,Review Menu & Kitchen Quality
"Staff training is needed, cleaning staff was incompetent.",Services,Staff Training Required
"Terrible dining experience, tea was not fresh.",Food,Review Menu & Kitchen Quality
I ordered fish but it lacked flavor.,Food,Review Menu & Kitchen Quality
"We were bored, the spa needs an upgrade.",Recreation,Upgrade Pool & Activities
The beach area is crowded and needs attention.,Recreation,Upgrade Pool & Activities
I asked for a towel at the pool but the staff argued with us.,Services,Staff Training Required
Room 201 has a smelly AC.,Rooms,Inspect Room & Maintenance
"We had issues with the balcony, it was wet.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, dessert tasted terrible.",Food,Review Menu & Kitchen Quality
"Please fix the sink, it is stained.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, rice was stale.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, kids club was empty.",Recreation,Upgrade Pool & Activities
The beach area is crowded and needs attention.,Recreation,Upgrade Pool & Activities
Very unhelpful behavior from the bellboy.,Services,Staff Training Required
Room 201 has a wet lights.,Rooms,Inspect Room & Maintenance
The pasta was burned.,Food,Review Menu & Kitchen Quality
I ordered pizza but it was disappointing.,Food,Review Menu & Kitchen Quality
"Staff training is needed, staff was unprofessional.",Services,Staff Training Required
"Terrible dining experience, buffet lacked flavor.",Food,Review Menu & Kitchen Quality
The guy at the gym was very unprofessional.,Services,Staff Training Required
"We were bored, the tennis court needs an upgrade.",Recreation,Upgrade Pool & Activities
"Staff training is needed, manager was arrogant.",Services,Staff Training Required
"Kitchen needs improvement, pizza was oily.",Food,Review Menu & Kitchen Quality
The air conditioner makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Hotel needs more fun, music was cold.",Recreation,Upgrade Pool & Activities
"Service was terrible, the staff did check on us.",Services,Staff Training Required
"Please fix the AC, it is noisy.",Rooms,Inspect Room & Maintenance
The lights in my room was smells like dog.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, pizza was greasy.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, tea was bland.",Food,Review Menu & Kitchen Quality
"Food quality is bland, especially the curry.",Food,Review Menu & Kitchen Quality
I complained to the bellboy but they ignored us.,Services,Staff Training Required
"Hotel needs more fun, pool was outdated.",Recreation,Upgrade Pool & Activities
I ordered tea but it was not fresh.,Food,Review Menu & Kitchen Quality
"Staff training is needed, receptionist was slow.",Services,Staff Training Required
"Food quality is tasteless, especially the fish.",Food,Review Menu & Kitchen Quality
I complained to the staff but they refused to help.,Services,Staff Training Required
I ordered chicken but it was disappointing.,Food,Review Menu & Kitchen Quality
Very unfriendly behavior from the cleaning staff.,Services,Staff Training Required
"Hotel needs more fun, bar was closed.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, buffet was stale.",Food,Review Menu & Kitchen Quality
Room 201 has a clogged toilet.,Rooms,Inspect Room & Maintenance
"Nothing to do here, kids club is useless.",Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, dessert was inadible.",Food,Review Menu & Kitchen Quality
The dessert was raw.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, burger was not good.",Food,Review Menu & Kitchen Quality
"Disappointed with the tennis court, it was small.",Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
I ordered burger but it smelled bad.,Food,Review Menu & Kitchen Quality
The pool was very boring.,Recreation,Upgrade Pool & Activities
I ordered cake but it was waste of money.,Food,Review Menu & Kitchen Quality
I cannot get the safe to open.,Rooms,Inspect Room & Maintenance
I asked for a towel at the pool but the staff yelled at me.,Services,Staff Training Required
The curry was stale.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, steak was waste of money.",Food,Review Menu & Kitchen Quality
I ordered pasta but it was waste of money.,Food,Review Menu & Kitchen Quality
"Food quality is overcooked, especially the pizza.",Food,Review Menu & Kitchen Quality
The bar area is useless and needs attention.,Recreation,Upgrade Pool & Activities
"Kitchen needs improvement, soup was inadible.",Food,Review Menu & Kitchen Quality
"Terrible dining experience, tea was not fresh.",Food,Review Menu & Kitchen Quality
Very slow behavior from the server.,Services,Staff Training Required
"Kitchen needs improvement, tea was awful.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, curry was salty.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, dessert was raw.",Food,Review Menu & Kitchen Quality
Room 201 has a old carpet.,Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"We had issues with the air conditioner, it was wont lock.",Rooms,Inspect Room & Maintenance
"Nothing to do here, pool is useless.",Recreation,Upgrade Pool & Activities
Nobody at the spa desk seemed interested in serving us.,Services,Staff Training Required
"Kitchen needs improvement, breakfast was tasteless.",Food,Review Menu & Kitchen Quality
We found the fish to be greasy and tasteless.,Food,Review Menu & Kitchen Quality
The gym area is expensive and needs attention.,Recreation,Upgrade Pool & Activities
"Disappointed with the tennis court, it was outdated.",Recreation,Upgrade Pool & Activities
"Food quality is stale, especially the pizza.",Food,Review Menu & Kitchen Quality
The door makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
The wifi in my room was smells bad.,Rooms,Inspect Room & Maintenance
"Please fix the wifi, it is clogged.",Rooms,Inspect Room & Maintenance
The gym area is small and needs attention.,Recreation,Upgrade Pool & Activities
"Food quality is bland, especially the fish.",Food,Review Menu & Kitchen Quality
"Staff training is needed, bartender was incompetent.",Services,Staff Training Required
We were treated poorly by a mean concierge.,Services,Staff Training Required
The steak was overcooked.,Food,Review Menu & Kitchen Quality
I asked for a towel at the pool but the staff kept us waiting.,Services,Staff Training Required
"Kitchen needs improvement, breakfast was salty.",Food,Review Menu & Kitchen Quality
"Disappointed with the activities, it was small.",Recreation,Upgrade Pool & Activities
The balcony in my room was dusty.,Rooms,Inspect Room & Maintenance
We were treated poorly by a unprofessional cleaning staff.,Services,Staff Training Required
"Bathroom was disgusting, sheets was wet.",Rooms,Inspect Room & Maintenance
"We were bored, the beach needs an upgrade.",Recreation,Upgrade Pool & Activities
The burger was tasteless.,Food,Review Menu & Kitchen Quality
"Nothing to do here, gym is closed.",Recreation,Upgrade Pool & Activities
The tea was oily.,Food,Review Menu & Kitchen Quality
The cleaning staff was extremely unprofessional.,Services,Staff Training Required
"Please fix the fridge, it is smells bad.",Rooms,Inspect Room & Maintenance
The ceiling makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
I complained to the server but they rolled their eyes.,Services,Staff Training Required
The lights makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"Service was terrible, the cleaning staff argued with us.",Services,Staff Training Required
"Please fix the balcony, it is broken.",Rooms,Inspect Room & Maintenance
"Zero service at the lounge, we waited 20 mins.",Services,Staff Training Required
The buffet was tasteless.,Food,Review Menu & Kitchen Quality
The steak was overcooked.,Food,Review Menu & Kitchen Quality
The guy at the pool was very angry.,Services,Staff Training Required
"Please fix the bed, it is smells like dog.",Rooms,Inspect Room & Maintenance
We found the rice to be overcooked and overcooked.,Food,Review Menu & Kitchen Quality
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, tea was oily.",Food,Review Menu & Kitchen Quality
The fridge in my room was damaged.,Rooms,Inspect Room & Maintenance
"Food quality is raw, especially the cake.",Food,Review Menu & Kitchen Quality
The games was very expensive.,Recreation,Upgrade Pool & Activities
The coffee was tasteless.,Food,Review Menu & Kitchen Quality
"Nothing to do here, gym is expensive.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, door was damp.",Rooms,Inspect Room & Maintenance
The wifi in my room was broken.,Rooms,Inspect Room & Maintenance
"Disappointed with the games, it was expensive.",Recreation,Upgrade Pool & Activities
"Service was terrible, the bellboy ignored us.",Services,Staff Training Required
The manager was extremely arrogant.,Services,Staff Training Required
The games was very closed.,Recreation,Upgrade Pool & Activities
"Hotel needs more fun, pool was expensive.",Recreation,Upgrade Pool & Activities
"Nothing to do here, tennis court is small.",Recreation,Upgrade Pool & Activities
"Disappointed with the beach, it was dirty.",Recreation,Upgrade Pool & Activities
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
The guy at the pool was very unfriendly.,Services,Staff Training Required
We were treated poorly by a lazy employee.,Services,Staff Training Required
"Nothing to do here, music is empty.",Recreation,Upgrade Pool & Activities
The gym was very useless.,Recreation,Upgrade Pool & Activities
We were treated poorly by a aggressive employee.,Services,Staff Training Required
I complained to the bellboy but they was on their phone.,Services,Staff Training Required
Very unprofessional behavior from the employee.,Services,Staff Training Required
"Room maintenance is poor, toilet kept leaking.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, chicken was inadible.",Food,Review Menu & Kitchen Quality
The entertainment area is crowded and needs attention.,Recreation,Upgrade Pool & Activities
"Service was terrible, the bellboy scolded me.",Services,Staff Training Required
The breakfast was oily.,Food,Review Menu & Kitchen Quality
We found the burger to be cold and cold.,Food,Review Menu & Kitchen Quality
I cannot get the safe to close.,Rooms,Inspect Room & Maintenance
I complained to the concierge but they forgot our order.,Services,Staff Training Required
I ordered chicken but it was disappointing.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, pizza was not fresh.",Food,Review Menu & Kitchen Quality
"Please fix the sink, it is clogged.",Rooms,Inspect Room & Maintenance
"Terrible dining experience, cake tasted terrible.",Food,Review Menu & Kitchen Quality
"We had issues with the door, it was wont lock.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, rice was oily.",Food,Review Menu & Kitchen Quality
We found the steak to be inadible and undercooked.,Food,Review Menu & Kitchen Quality
We found the curry to be undercooked and tasteless.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, pizza lacked flavor.",Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, sheets was wont lock.",Rooms,Inspect Room & Maintenance
The curry was raw.,Food,Review Menu & Kitchen Quality
"Nothing to do here, activities is useless.",Recreation,Upgrade Pool & Activities
"We were bored, the entertainment needs an upgrade.",Recreation,Upgrade Pool & Activities
The curry was greasy.,Food,Review Menu & Kitchen Quality
I ordered coffee but it lacked flavor.,Food,Review Menu & Kitchen Quality
We were treated poorly by a mean receptionist.,Services,Staff Training Required
"Please fix the lock, it is moldy.",Rooms,Inspect Room & Maintenance
The lights makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
"We were bored, the spa needs an upgrade.",Recreation,Upgrade Pool & Activities
The games area is closed and needs attention.,Recreation,Upgrade Pool & Activities
The receptionist was extremely aggressive.,Services,Staff Training Required
"We were bored, the activities needs an upgrade.",Recreation,Upgrade Pool & Activities
"Service was terrible, the cleaning staff did check on us.",Services,Staff Training Required
"Room maintenance is poor, wifi kept leaking.",Rooms,Inspect Room & Maintenance
"Nothing to do here, gym is boring.",Recreation,Upgrade Pool & Activities
The kids club was very small.,Recreation,Upgrade Pool & Activities
Room 201 has a smells like dog AC.,Rooms,Inspect Room & Maintenance
"Service was terrible, the bartender rolled their eyes.",Services,Staff Training Required
The guy at the pool was very mean.,Services,Staff Training Required
"Disappointed with the games, it was expensive.",Recreation,Upgrade Pool & Activities
I complained to the server but they ignored us.,Services,Staff Training Required
"Room maintenance is poor, lights kept leaking.",Rooms,Inspect Room & Maintenance
Room 201 has a smells bad shower.,Rooms,Inspect Room & Maintenance
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
The guy at the gym was very slow.,Services,Staff Training Required
"Disappointed with the kids club, it was closed.",Recreation,Upgrade Pool & Activities
"Disappointed with the bar, it was crowded.",Recreation,Upgrade Pool & Activities
"Bathroom was disgusting, lock was damaged.",Rooms,Inspect Room & Maintenance
"Staff training is needed, server was unfriendly.",Services,Staff Training Required
"Hotel needs more fun, bar was closed.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the ceiling.,Rooms,Inspect Room & Maintenance
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
The AC in my room was wet.,Rooms,Inspect Room & Maintenance
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
"Terrible dining experience, breakfast was not good.",Food,Review Menu & Kitchen Quality
The waiter was extremely incompetent.,Services,Staff Training Required
"Bathroom was disgusting, carpet was not working.",Rooms,Inspect Room & Maintenance
"Disappointed with the kids club, it was cold.",Recreation,Upgrade Pool & Activities
"We were bored, the activities needs an upgrade.",Recreation,Upgrade Pool & Activities
The room smells like mildew.,Rooms,Inspect Room & Maintenance
"Service was terrible, the bartender argued with us.",Services,Staff Training Required
The lock makes a loud banging noise all night.,Rooms,Inspect Room & Maintenance
We found the buffet to be inadible and salty.,Food,Review Menu & Kitchen Quality
"We were bored, the gym needs an upgrade.",Recreation,Upgrade Pool & Activities
"Zero service at the rooftop bar, we waited 20 mins.",Services,Staff Training Required
"Nothing to do here, gym is useless.",Recreation,Upgrade Pool & Activities
I complained to the staff but they did check on us.,Services,Staff Training Required
The guy at the gym was very unhelpful.,Services,Staff Training Required
"Service was terrible, the cleaning staff kept us waiting.",Services,Staff Training Required
I ordered burger but it was not fresh.,Food,Review Menu & Kitchen Quality
I ordered rice but it smelled bad.,Food,Review Menu & Kitchen Quality
"Bathroom was disgusting, sheets was moldy.",Rooms,Inspect Room & Maintenance
"Hotel needs more fun, activities was closed.",Recreation,Upgrade Pool & Activities
We found the curry to be inadible and oily.,Food,Review Menu & Kitchen Quality
We found the coffee to be bland and burned.,Food,Review Menu & Kitchen Quality
"Terrible dining experience, breakfast made me sick.",Food,Review Menu & Kitchen Quality
"Kitchen needs improvement, pasta was stale.",Food,Review Menu & Kitchen Quality
Very slow behavior from the employee.,Services,Staff Training Required
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, fridge kept failing.",Rooms,Inspect Room & Maintenance
"Room maintenance is poor, lock kept leaking.",Rooms,Inspect Room & Maintenance
"We had issues with the fridge, it was damaged.",Rooms,Inspect Room & Maintenance
"Staff training is needed, receptionist was slow.",Services,Staff Training Required
I cannot get the main door to lock.,Rooms,Inspect Room & Maintenance
I cannot get the balcony door to close.,Rooms,Inspect Room & Maintenance
"Food quality is raw, especially the pasta.",Food,Review Menu & Kitchen Quality
Room 201 has a not working balcony.,Rooms,Inspect Room & Maintenance
"Please fix the window, it is not working.",Rooms,Inspect Room & Maintenance
The room smells like mildew.,Rooms,Inspect Room & Maintenance
The activities area is useless and needs attention.,Recreation,Upgrade Pool & Activities
The kids club was very outdated.,Recreation,Upgrade Pool & Activities
The lights in my room was damp.,Rooms,Inspect Room & Maintenance
"Terrible dining experience, chicken tasted terrible.",Food,Review Menu & Kitchen Quality
"Hotel needs more fun, kids club was empty.",Recreation,Upgrade Pool & Activities
I cannot get the balcony door to close.,Rooms,Inspect Room & Maintenance
The concierge was extremely angry.,Services,Staff Training Required
"Food quality is burned, especially the rice.",Food,Review Menu & Kitchen Quality
"Room maintenance is poor, lock kept making noise.",Rooms,Inspect Room & Maintenance
I ordered buffet but it was not fresh.,Food,Review Menu & Kitchen Quality
Very slow behavior from the manager.,Services,Staff Training Required
"Room maintenance is poor, bed kept leaking.",Rooms,Inspect Room & Maintenance
"Please fix the toilet, it is stained.",Rooms,Inspect Room & Maintenance
"We had issues with the ceiling, it was leaking.",Rooms,Inspect Room & Maintenance
"Zero service at the beach bar, we waited 20 mins.",Services,Staff Training Required
There is a weird dripping sound coming from the AC.,Rooms,Inspect Room & Maintenance
"We were bored, the pool needs an upgrade.",Recreation,Upgrade Pool & Activities
"Food quality is stale, especially the steak.",Food,Review Menu & Kitchen Quality
The guy at the gym was very unprofessional.,Services,Staff Training Required
"Nothing to do here, music is useless.",Recreation,Upgrade Pool & Activities
We found the curry to be dry and undercooked.,Food,Review Menu & Kitchen Quality
Very unprofessional behavior from the bellboy.,Services,Staff Training Required
"Hotel needs more fun, games was boring.",Recreation,Upgrade Pool & Activities
The games was very small.,Recreation,Upgrade Pool & Activities
The pasta was burned.,Food,Review Menu & Kitchen Quality
"Hotel needs more fun, activities was outdated.",Recreation,Upgrade Pool & Activities
There is a weird dripping sound coming from the bathroom.,Rooms,Inspect Room & Maintenance
"Disappointed with the beach, it was useless.",Recreation,Upgrade Pool & Activities
"Disappointed with the tennis court, it was empty.",Recreation,Upgrade Pool & Activities
Very rude behavior from the staff.,Services,Staff Training Required
Nobody at the bar seemed interested in serving us.,Services,Staff Training Required
I ordered pasta but it was disappointing.,Food,Review Menu & Kitchen Quality
The kids club was very closed.,Recreation,Upgrade Pool & Activities
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
The steak was undercooked.,Food,Review Menu & Kitchen Quality
"Staff training is needed, manager was unhelpful.",Services,Staff Training Required
"We were bored, the games needs an upgrade.",Recreation,Upgrade Pool & Activities
The spa area is useless and needs attention.,Recreation,Upgrade Pool & Activities
The games was very empty.,Recreation,Upgrade Pool & Activities
I cannot get the balcony door to lock.,Rooms,Inspect Room & Maintenance
Room 201 has a smells bad TV.,Rooms,Inspect Room & Maintenance
"Room maintenance is poor, ceiling kept leaking.",Rooms,Inspect Room & Maintenance
"Service was terrible, the staff rolled their eyes.",Services,Staff Training Required
The cake was salty.,Food,Review Menu & Kitchen Quality
The lights in my room was old.,Rooms,Inspect Room & Maintenance
"Food quality is inadible, especially the burger.",Food,Review Menu & Kitchen Quality
"Nothing to do here, bar is small.",Recreation,Upgrade Pool & Activities
"Please fix the AC, it is dusty.",Rooms,Inspect Room & Maintenance
"Kitchen needs improvement, soup was cold.",Food,Review Menu & Kitchen Quality
