text,action,category,cleaned_text,char_count,word_count,sentiment_score
The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,the furniture is worn out and chipped,38,7,0
Air conditioner is loud and barely cools the room. Terrible.,Upgrade Room Amenities,Rooms,air conditioner is loud and barely cool the room terrible,60,10,-1
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food,the pasta wa overcooked and mushy terrible,45,7,-1
Action needed: It took 45 minutes just to check in.,Review Check-in Process,Services,action needed it took minute just to check in,51,10,0
Priority check-in for members was not honored.,Review Check-in Process,Services,priority checkin for member wa not honored,46,7,0
Concierge was unable to give simple directions. Terrible.,Staff Communication Training,Services,concierge wa unable to give simple direction terrible,57,8,-1
Action needed: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,action needed fly buzzing around the room constantly,56,8,0
Feedback: The coffee was burnt and bitter.,Revise Menu Quality,Food,feedback the coffee wa burnt and bitter,42,7,0
treadmills were all out of order.,Update Gym Equipment,Recreation,treadmill were all out of order,33,6,0
concierge was unable to give simple directions.,Staff Communication Training,Services,concierge wa unable to give simple direction,47,7,0
They couldn't find my booking in the system.,Review Check-in Process,Services,they couldnt find my booking in the system,44,8,0
They refused to accept my voucher.,Compensate Guest,Food,they refused to accept my voucher,34,6,0
Not happy. No supervision in the children's play area.,Recreation Staff Review,Recreation,not happy no supervision in the childrens play area,54,9,0
Action needed: The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms,action needed the toilet wasnt flushed when we arrived,57,9,0
They lost our reservation even though we booked weeks ago. Terrible.,Compensate Guest,Food,they lost our reservation even though we booked week ago terrible,68,11,-1
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,dust everywhere especially under the bed,42,6,0
Review: Water looked stagnant and dirty.,Pool Maintenance,Recreation,review water looked stagnant and dirty,40,6,-1
Feedback: No supervision in the children's play area.,Recreation Staff Review,Recreation,feedback no supervision in the childrens play area,53,8,0
"Worst dining experience ever, I expect compensation. Terrible.",Compensate Guest,Food,worst dining experience ever i expect compensation terrible,62,8,-2
"Honestly, towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,honestly towel are thin scratchy and old,45,7,-1
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services,feedback the concierge made a rude comment about my appearance,64,10,-1
Feedback: The pool water was cloudy and green.,Pool Maintenance,Recreation,feedback the pool water wa cloudy and green,46,8,0
Review: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms,review window were dirty and hard to see through,51,9,-1
"Honestly, gym equipment is ancient and rusty.",Update Gym Equipment,Recreation,honestly gym equipment is ancient and rusty,45,7,0
Feedback: Debris and leaves floating in the water.,Pool Maintenance,Recreation,feedback debris and leaf floating in the water,50,8,0
Feedback: I want a refund for this terrible meal.,Compensate Guest,Food,feedback i want a refund for this terrible meal,49,9,-1
Entertainment team was low energy and boring. Terrible.,Recreation Staff Review,Recreation,entertainment team wa low energy and boring terrible,55,8,-1
Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation,spa therapist wa chatting during the massage,46,7,0
Action needed: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,action needed glass had lipstick mark on it,46,8,0
Security guard was sleeping on the job.,Disciplinary Action,Services,security guard wa sleeping on the job,39,7,0
Staff seemed confused by the check-in software.,Review Check-in Process,Services,staff seemed confused by the checkin software,47,7,0
"Honestly, restaurant manager was shouting at the staff.",Staff Training (Food),Food,honestly restaurant manager wa shouting at the staff,55,8,0
Review: Pool ladders are loose and dangerous.,Pool Maintenance,Recreation,review pool ladder are loose and dangerous,45,7,0
Not happy. Security guard was sleeping on the job.,Disciplinary Action,Services,not happy security guard wa sleeping on the job,50,9,0
kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,kid club staff seemed bored and inattentive,45,7,0
"Honestly, staff got my order wrong three times.",Staff Training (Food),Food,honestly staff got my order wrong three time,47,8,0
"Honestly, bike seat is broken.",Update Gym Equipment,Recreation,honestly bike seat is broken,30,5,-1
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
Feedback: Security guard was sleeping on the job.,Disciplinary Action,Services,feedback security guard wa sleeping on the job,49,8,0
Review: The menu options are very limited and boring.,Revise Menu Quality,Food,review the menu option are very limited and boring,53,9,0
Feedback: Charged 5 stars price for 1 star food.,Compensate Guest,Food,feedback charged star price for star food,48,9,0
they forgot to give us our wake-up call.,Staff Communication Training,Services,they forgot to give u our wakeup call,40,8,0
Activity director was rude to the guests.,Recreation Staff Review,Recreation,activity director wa rude to the guest,41,7,-1
"Honestly, the carpet was stained and smelled of mold.",Deep Clean & Maintenance,Rooms,honestly the carpet wa stained and smelled of mold,53,9,-1
bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,bed bug bit me all over my leg,33,8,0
Feedback: Food was cold when it arrived at the table.,Revise Menu Quality,Food,feedback food wa cold when it arrived at the table,53,10,-1
Action needed: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,action needed i think i saw a mouse behind the curtain,56,11,0
Not happy. Scum line around the edge of the pool.,Pool Maintenance,Recreation,not happy scum line around the edge of the pool,49,10,0
Review: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,review saw ant marching across the bathroom sink,51,8,0
Action needed: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,action needed i got food poisoning after eating the seafood,61,10,0
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,not happy no iron or ironing board in the room,48,10,0
Not happy. The menu options are very limited and boring.,Revise Menu Quality,Food,not happy the menu option are very limited and boring,56,10,0
Not happy. They refused to accept my voucher.,Compensate Guest,Food,not happy they refused to accept my voucher,45,8,0
The pasta was overcooked and mushy.,Revise Menu Quality,Food,the pasta wa overcooked and mushy,35,6,0
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,feedback towel are thin scratchy and old,45,7,-1
Review: The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,review the furniture is worn out and chipped,46,8,0
Review: The server was rude when I asked for water.,Staff Training (Food),Food,review the server wa rude when i asked for water,51,10,-1
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food,feedback the server wa rude when i asked for water,53,10,-1
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms,honestly the toilet wasnt flushed when we arrived,52,8,0
Scum line around the edge of the pool. Terrible.,Pool Maintenance,Recreation,scum line around the edge of the pool terrible,48,9,-1
entertainment team was low energy and boring.,Recreation Staff Review,Recreation,entertainment team wa low energy and boring,45,7,0
No iron or ironing board in the room. Terrible.,Upgrade Room Amenities,Rooms,no iron or ironing board in the room terrible,47,9,-1
"Dust everywhere, especially under the bed. Terrible.",Deep Clean & Maintenance,Rooms,dust everywhere especially under the bed terrible,52,7,-1
Action needed: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,action needed beach staff demanded tip for chair,52,8,0
Not happy. Minibar was empty and not working.,Upgrade Room Amenities,Rooms,not happy minibar wa empty and not working,45,8,0
the coffee was burnt and bitter.,Revise Menu Quality,Food,the coffee wa burnt and bitter,32,6,0
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services,honestly concierge wa unable to give simple direction,57,8,0
"Dust everywhere, especially under the bed.",Deep Clean & Maintenance,Rooms,dust everywhere especially under the bed,42,6,0
called reception but no one answered the phone.,Staff Communication Training,Services,called reception but no one answered the phone,47,8,0
Feedback: The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,feedback the pillow are lumpy and uncomfortable,50,7,0
The buffet area looked unclean and messy. Terrible.,Inspect Kitchen Hygiene,Food,the buffet area looked unclean and messy terrible,51,8,-1
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,action needed tile around the pool are broken and sharp,58,10,-1
Staff member was smoking right outside the lobby door.,Disciplinary Action,Services,staff member wa smoking right outside the lobby door,54,9,0
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation,feedback beach staff demanded tip for chair,47,7,0
Feedback: Flies buzzing around the room constantly.,Pest Control Investigation,Rooms,feedback fly buzzing around the room constantly,51,7,0
WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms,wifi signal is too weak to work in the room,44,10,0
"Not happy. Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,not happy towel are thin scratchy and old,46,8,-1
"Honestly, entertainment team was low energy and boring.",Recreation Staff Review,Recreation,honestly entertainment team wa low energy and boring,55,8,0
"Honestly, the carpet was stained and smelled of mold.",Deep Clean & Maintenance,Rooms,honestly the carpet wa stained and smelled of mold,53,9,-1
charged 5 stars price for 1 star food.,Compensate Guest,Food,charged star price for star food,38,8,0
Review: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,review room wasnt ready at pm checkin time,48,9,0
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services,feedback housekeeper stole money from my wallet,49,7,0
Action needed: They couldn't find my booking in the system.,Review Check-in Process,Services,action needed they couldnt find my booking in the system,59,10,0
"Honestly, tour guide gave us incorrect historical info.",Recreation Staff Review,Recreation,honestly tour guide gave u incorrect historical info,55,8,0
"Honestly, the presentation of the dishes was poor.",Revise Menu Quality,Food,honestly the presentation of the dish wa poor,50,8,-1
Review: Charged 5 stars price for 1 star food.,Compensate Guest,Food,review charged star price for star food,46,9,0
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,honestly the gym smell like sweat no ventilation,52,8,0
Review: Staff member laughed at my complaint.,Disciplinary Action,Services,review staff member laughed at my complaint,45,7,0
everything tastes like frozen food reheated.,Revise Menu Quality,Food,everything taste like frozen food reheated,44,6,0
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services,not happy bartender wa visibly drunk,39,6,0
They refused to accept my voucher. Terrible.,Compensate Guest,Food,they refused to accept my voucher terrible,44,7,-1
The room is infested with insects.,Pest Control Investigation,Rooms,the room is infested with insect,34,6,0
Action needed: Activity director was rude to the guests.,Recreation Staff Review,Recreation,action needed activity director wa rude to the guest,56,9,-1
Action needed: The coffee was burnt and bitter.,Revise Menu Quality,Food,action needed the coffee wa burnt and bitter,47,8,0
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,not happy evidence of termite in the wooden furniture,56,9,0
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,found trash from previous guest in the drawer,47,8,0
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms,not happy the furniture is worn out and chipped,49,9,0
"Feedback: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,feedback we waited hour for our food this is unacceptable,63,11,0
"Honestly, housekeeper stole money from my wallet.",Disciplinary Action,Services,honestly housekeeper stole money from my wallet,49,7,0
"Honestly, pool attendant refused to give me a towel.",Recreation Staff Review,Recreation,honestly pool attendant refused to give me a towel,52,9,0
Feedback: WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms,feedback wifi signal is too weak to work in the room,54,11,0
yoga mats are torn and dirty.,Update Gym Equipment,Recreation,yoga mat are torn and dirty,29,6,-1
"Honestly, worst dining experience ever, i expect compensation.",Compensate Guest,Food,honestly worst dining experience ever i expect compensation,62,8,-1
"Honestly, towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,honestly towel are thin scratchy and old,45,7,-1
Saw a cockroach near the kitchen entrance. Terrible.,Inspect Kitchen Hygiene,Food,saw a cockroach near the kitchen entrance terrible,52,8,-1
I got food poisoning after eating the seafood. Terrible.,Inspect Kitchen Hygiene,Food,i got food poisoning after eating the seafood terrible,56,9,-1
Not happy. Yoga mats are torn and dirty.,Update Gym Equipment,Recreation,not happy yoga mat are torn and dirty,40,8,-1
i want a refund for this terrible meal.,Compensate Guest,Food,i want a refund for this terrible meal,39,8,-1
"Honestly, staff speaks very poor english, hard to communicate.",Staff Communication Training,Services,honestly staff speaks very poor english hard to communicate,62,9,-1
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation,feedback filtration system wa making a loud noise,53,8,0
"worst dining experience ever, i expect compensation.",Compensate Guest,Food,worst dining experience ever i expect compensation,52,7,-1
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food,the salad wa wilted and brown terrible,41,7,-1
The pasta was overcooked and mushy. Terrible.,Revise Menu Quality,Food,the pasta wa overcooked and mushy terrible,45,7,-1
Tiles around the pool are broken and sharp. Terrible.,Pool Maintenance,Recreation,tile around the pool are broken and sharp terrible,53,9,-2
Not happy. Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,not happy bed bug bit me all over my leg,44,10,0
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms,not happy the pillow are lumpy and uncomfortable,51,8,0
Review: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,review everything taste like frozen food reheated,52,7,0
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food,not happy worst dining experience ever i expect compensation,63,9,-1
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food,the steak wa tough and flavorless terrible,45,7,-1
I think I saw a mouse behind the curtain. Terrible.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain terrible,51,10,-1
Tour guide gave us incorrect historical info. Terrible.,Recreation Staff Review,Recreation,tour guide gave u incorrect historical info terrible,55,8,-1
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,not happy air conditioner is loud and barely cool the room,61,11,0
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food,the food tasted slightly spoiled and smelled bad terrible,59,9,-2
Review: Service in the restaurant was incredibly slow.,Staff Training (Food),Food,review service in the restaurant wa incredibly slow,54,8,0
Review: The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,review the sheet had spot and didnt look fresh,51,9,0
Action needed: Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation,action needed lifeguard wa on their phone the whole time,59,10,0
unprofessional behavior from the night manager.,Disciplinary Action,Services,unprofessional behavior from the night manager,47,6,0
WiFi signal is too weak to work in the room. Terrible.,Upgrade Room Amenities,Rooms,wifi signal is too weak to work in the room terrible,54,11,-1
Hygiene standards in the restaurant seem very low. Terrible.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem very low terrible,60,9,-1
Front desk staff gave us wrong information about breakfast. Terrible.,Staff Communication Training,Services,front desk staff gave u wrong information about breakfast terrible,69,10,-1
Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation,tile around the pool are broken and sharp,43,8,-1
Review: Priority check-in for members was not honored.,Review Check-in Process,Services,review priority checkin for member wa not honored,54,8,0
Review: No water or towels available in the gym.,Update Gym Equipment,Recreation,review no water or towel available in the gym,48,9,0
"Honestly, debris and leaves floating in the water.",Pool Maintenance,Recreation,honestly debris and leaf floating in the water,50,8,0
Review: Staff seemed confused by the check-in software.,Review Check-in Process,Services,review staff seemed confused by the checkin software,55,8,0
saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,saw ant marching across the bathroom sink,43,7,0
Staff got my order wrong three times.,Staff Training (Food),Food,staff got my order wrong three time,37,7,0
I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms,i think i saw a mouse behind the curtain,41,9,0
The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh,43,8,0
gym is too small for the number of guests.,Update Gym Equipment,Recreation,gym is too small for the number of guest,42,9,-1
Evidence of termites in the wooden furniture. Terrible.,Pest Control Investigation,Rooms,evidence of termite in the wooden furniture terrible,55,8,-1
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services,action needed priority checkin for member wa not honored,61,9,0
"too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation,too much chlorine in the pool burned my eye,46,9,0
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,feedback i got food poisoning after eating the seafood,56,9,0
The concierge made a rude comment about my appearance.,Disciplinary Action,Services,the concierge made a rude comment about my appearance,54,9,-1
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food,not happy the presentation of the dish wa poor,51,9,-1
Cable machine is stuck and dangerous. Terrible.,Update Gym Equipment,Recreation,cable machine is stuck and dangerous terrible,47,7,-1
Not happy. The bill included a service charge that was not mentioned.,Compensate Guest,Food,not happy the bill included a service charge that wa not mentioned,69,12,0
Feedback: Staff member laughed at my complaint.,Disciplinary Action,Services,feedback staff member laughed at my complaint,47,7,0
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation,honestly spa therapist wa chatting during the massage,56,8,0
"Honestly, staff speaks very poor english, hard to communicate.",Staff Communication Training,Services,honestly staff speaks very poor english hard to communicate,62,9,-1
Review: Not enough weights for a proper workout.,Update Gym Equipment,Recreation,review not enough weight for a proper workout,48,8,0
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms,not happy evidence of termite in the wooden furniture,56,9,0
The steak was tough and flavorless. Terrible.,Revise Menu Quality,Food,the steak wa tough and flavorless terrible,45,7,-1
"Honestly, misunderstanding about the room rate caused issues.",Staff Communication Training,Services,honestly misunderstanding about the room rate caused issue,61,8,0
Not happy. The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food,not happy the waiter spilled soup on me and didnt apologize,62,11,0
Feedback: Bed bugs bit me all over my legs.,Pest Control Investigation,Rooms,feedback bed bug bit me all over my leg,43,9,0
Review: Conflicting information from different staff members.,Staff Communication Training,Services,review conflicting information from different staff member,61,7,0
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation,beach staff demanded tip for chair terrible,47,7,-1
Not happy. There was a spider on the pillow.,Pest Control Investigation,Rooms,not happy there wa a spider on the pillow,44,9,0
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,action needed everything taste like frozen food reheated,59,8,0
"Honestly, pool attendant refused to give me a towel.",Recreation Staff Review,Recreation,honestly pool attendant refused to give me a towel,52,9,0
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services,feedback the concierge made a rude comment about my appearance,64,10,-1
Not happy. Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food,not happy glass had lipstick mark on it,42,8,0
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,feedback everything taste like frozen food reheated,54,7,0
No one came to clear our table for 30 minutes. Terrible.,Staff Training (Food),Food,no one came to clear our table for minute terrible,56,11,-1
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services,not happy valet scratched my car and denied it,48,9,0
Review: Priority check-in for members was not honored.,Review Check-in Process,Services,review priority checkin for member wa not honored,54,8,0
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation,honestly pool ladder are loose and dangerous,47,7,0
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food,review not enough vegetarian or vegan option,47,7,0
Check-in line was huge and only one counter open. Terrible.,Review Check-in Process,Services,checkin line wa huge and only one counter open terrible,59,10,-1
"Review: Pool was freezing cold, heater broken.",Pool Maintenance,Recreation,review pool wa freezing cold heater broken,46,7,-2
"Honestly, the coffee was burnt and bitter.",Revise Menu Quality,Food,honestly the coffee wa burnt and bitter,42,7,0
no iron or ironing board in the room.,Upgrade Room Amenities,Rooms,no iron or ironing board in the room,37,8,0
Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,found trash from previous guest in the drawer,47,8,0
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation,honestly spa therapist wa chatting during the massage,56,8,0
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food,they lost our reservation even though we booked week ago,58,10,0
Conflicting information from different staff members. Terrible.,Staff Communication Training,Services,conflicting information from different staff member terrible,63,7,-1
"Feedback: Key cards didn't work, had to go back down.",Review Check-in Process,Services,feedback key card didnt work had to go back down,53,10,0
"Honestly, room wasn't ready at 4 pm check-in time.",Review Check-in Process,Services,honestly room wasnt ready at pm checkin time,50,9,0
Action needed: The pasta was overcooked and mushy.,Revise Menu Quality,Food,action needed the pasta wa overcooked and mushy,50,8,0
Review: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms,review the room smelled like stale cigarette smoke,52,8,0
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation,not happy pool shower wasnt working,38,6,0
Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms,saw ant marching across the bathroom sink,43,7,0
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms,the hairdryer provided is useless and overheating,50,7,0
Service in the restaurant was incredibly slow.,Staff Training (Food),Food,service in the restaurant wa incredibly slow,46,7,0
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services,not happy bartender wa visibly drunk,39,6,0
Action needed: No supervision in the children's play area.,Recreation Staff Review,Recreation,action needed no supervision in the childrens play area,58,9,0
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation,spa therapist wa chatting during the massage terrible,56,8,-1
Action needed: Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation,action needed kid club staff seemed bored and inattentive,60,9,0
"Honestly, the buffet area looked unclean and messy.",Inspect Kitchen Hygiene,Food,honestly the buffet area looked unclean and messy,51,8,0
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services,review checkin line wa huge and only one counter open,57,10,0
Not happy. It took 45 minutes just to check in.,Review Check-in Process,Services,not happy it took minute just to check in,47,10,0
Bartender was visibly drunk. Terrible.,Disciplinary Action,Services,bartender wa visibly drunk terrible,38,5,-1
Elliptical machine makes a squeaking sound. Terrible.,Update Gym Equipment,Recreation,elliptical machine make a squeaking sound terrible,53,7,-1
Not happy. The dessert was stale and dry.,Revise Menu Quality,Food,not happy the dessert wa stale and dry,41,8,0
it took 45 minutes just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms,found trash from previous guest in the drawer,47,8,0
Review: Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,review misunderstanding about the room rate caused issue,59,8,0
"Not happy. Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services,not happy staff speaks very poor english hard to communicate,63,10,-1
called reception but no one answered the phone.,Staff Communication Training,Services,called reception but no one answered the phone,47,8,0
Staff was arguing loudly in the hallway. Terrible.,Disciplinary Action,Services,staff wa arguing loudly in the hallway terrible,50,8,-1
Review: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms,review dead bug on the windowsill,36,6,0
No iron or ironing board in the room.,Upgrade Room Amenities,Rooms,no iron or ironing board in the room,37,8,0
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food,action needed everything taste like frozen food reheated,59,8,0
"Honestly, beach staff demanded tips for chairs.",Recreation Staff Review,Recreation,honestly beach staff demanded tip for chair,47,7,0
system crashed during check-in.,Review Check-in Process,Services,system crashed during checkin,31,4,0
They demanded a cash deposit unexpectedly.,Review Check-in Process,Services,they demanded a cash deposit unexpectedly,42,6,0
Review: The dessert was stale and dry.,Revise Menu Quality,Food,review the dessert wa stale and dry,38,7,0
no one came to clear our table for 30 minutes.,Staff Training (Food),Food,no one came to clear our table for minute,46,10,0
they couldn't find my booking in the system.,Review Check-in Process,Services,they couldnt find my booking in the system,44,8,0
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food,review the salad wa wilted and brown,39,7,0
Feedback: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms,feedback the carpet wa stained and smelled of mold,53,9,-1
Charged 5 stars price for 1 star food.,Compensate Guest,Food,charged star price for star food,38,8,0
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms,feedback the room smelled like stale cigarette smoke,54,8,0
Employee was on their phone ignoring guests. Terrible.,Disciplinary Action,Services,employee wa on their phone ignoring guest terrible,54,8,-1
Review: Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food,review waiter were ignoring u and chatting among themselves,63,9,0
Action needed: Lizard on the ceiling.,Pest Control Investigation,Rooms,action needed lizard on the ceiling,37,6,0
The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,the tv is tiny and ha no channel,35,8,0
Action needed: Cockroach in the shower.,Pest Control Investigation,Rooms,action needed cockroach in the shower,39,6,0
"Honestly, i want a refund for this terrible meal.",Compensate Guest,Food,honestly i want a refund for this terrible meal,49,9,-1
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Feedback: I got food poisoning after eating the seafood.,Inspect Kitchen Hygiene,Food,feedback i got food poisoning after eating the seafood,56,9,0
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services,not happy bartender wa visibly drunk,39,6,0
Not happy. No water or towels available in the gym.,Update Gym Equipment,Recreation,not happy no water or towel available in the gym,51,10,0
"Honestly, evidence of termites in the wooden furniture.",Pest Control Investigation,Rooms,honestly evidence of termite in the wooden furniture,55,8,0
Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,bellboy didnt explain how to use the key card,47,9,0
the tv is tiny and has no channels.,Upgrade Room Amenities,Rooms,the tv is tiny and ha no channel,35,8,0
Action needed: The concierge made a rude comment about my appearance.,Disciplinary Action,Services,action needed the concierge made a rude comment about my appearance,69,11,-1
Feedback: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms,feedback the tv is tiny and ha no channel,45,9,0
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food,action needed staff got my order wrong three time,52,9,0
"Honestly, there was a spider on the pillow.",Pest Control Investigation,Rooms,honestly there wa a spider on the pillow,43,8,0
Saw ants marching across the bathroom sink. Terrible.,Pest Control Investigation,Rooms,saw ant marching across the bathroom sink terrible,53,8,-1
Not happy. Misunderstanding about the room rate caused issues.,Staff Communication Training,Services,not happy misunderstanding about the room rate caused issue,62,9,0
Feedback: The pool water was cloudy and green.,Pool Maintenance,Recreation,feedback the pool water wa cloudy and green,46,8,0
"Honestly, we waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food,honestly we waited hour for our food this is unacceptable,63,11,0
Review: Check-in line was huge and only one counter open.,Review Check-in Process,Services,review checkin line wa huge and only one counter open,57,10,0
the sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms,the sheet had spot and didnt look fresh,43,8,0
saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food,saw a cockroach near the kitchen entrance,42,7,0
"Honestly, staff seemed confused by the check-in software.",Review Check-in Process,Services,honestly staff seemed confused by the checkin software,57,8,0
Review: Bellboy didn't explain how to use the key card.,Staff Communication Training,Services,review bellboy didnt explain how to use the key card,55,10,0
Feedback: Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms,feedback mosquito in the room kept me up all night,54,10,0
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation,honestly pool ladder are loose and dangerous,47,7,0
"Feedback: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms,feedback towel are thin scratchy and old,45,7,-1
Not enough weights for a proper workout.,Update Gym Equipment,Recreation,not enough weight for a proper workout,40,7,0
Not happy. Hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,not happy hygiene standard in the restaurant seem very low,61,10,0
There was a strange object in the soup.,Inspect Kitchen Hygiene,Food,there wa a strange object in the soup,39,8,0
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation,honestly the gym smell like sweat no ventilation,52,8,0
the menu options are very limited and boring.,Revise Menu Quality,Food,the menu option are very limited and boring,45,8,0
"Honestly, spa therapist was chatting during the massage.",Recreation Staff Review,Recreation,honestly spa therapist wa chatting during the massage,56,8,0
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation,honestly tennis coach didnt show up for the lesson,53,9,0
Feedback: Housekeeper stole money from my wallet.,Disciplinary Action,Services,feedback housekeeper stole money from my wallet,49,7,0
